word,count
love,70
time,64
way,49
caus,47
babi,38
yeah,37
onli,37
feel,35
call,35
day,35
gangsta,34
heart,33
je,32
woman,32
gonna,31
night,31
saw,31
talk,30
high,30
true,29
re,29
life,28
whi,27
whoa,27
parti,27
hell,27
walk,26
dream,26
new,25
eye,24
o,23
home,23
york,22
boy,21
look,21
earth,21
littl,20
turn,20
bout,20
peopl,19
world,19
live,18
morn,18
girl,18
wait,18
break,18
heaven,18
care,17
noth,17
ground,17
hey,17
lou,17
anoth,17
earli,17
heel,17
chang,16
lie,16
linda,16
last,16
aye,16
need,15
use,15
everi,15
head,15
"""nÃ£o""",15
run,15
friend,15
fall,14
cri,14
man,14
wanna,14
town,14
que,14
ladi,13
ooh,13
nobodi,13
money,13
space,13
honey,13
shadow,12
name,12
hope,12
shine,12
befor,11
other,11
sound,11
hold,11
thing,11
wrong,11
"""Ã """,11
roll,11
mind,11
everyth,11
believ,11
pleas,10
son,10
move,10
yall,10
problem,10
search,9
thought,9
leav,9
pra,9
place,9
show,9
hand,9
tower,9
free,9
same,9
laugh,9
star,9
lo,9
someth,8
"""Ã©""",8
il,8
qui,8
cest,8
soul,8
yo,8
end,8
mayb,8
hour,8
fire,8
sleep,8
moon,8
frown,8
sens,8
minut,8
person,8
pain,7
drop,7
"""iÃ¢Â€Â™m""",7
stronger,7
shake,7
v,7
fact,7
ce,7
dark,7
wonder,7
king,7
beef,7
real,7
im,7
danc,7
sua,7
line,7
nothin,7
slowli,7
insid,7
passion,7
pay,7
sky,7
blind,7
tomorrow,7
blue,7
distanc,7
anni,7
stand,6
pick,6
put,6
bodi,6
daddi,6
old,6
bad,6
bone,6
ma,6
dan,6
light,6
stop,6
watch,6
big,6
face,6
citi,6
matter,6
own,6
easi,6
second,6
wall,6
treat,6
crippl,6
wee,6
pull,6
explos,6
em,6
blow,5
mani,5
darl,5
refrain,5
wound,5
"""donÃ¢Â€Â™t""",5
mine,5
crime,5
comfort,5
ta,5
un,5
"""youÃ¢Â€Â™r""",5
play,5
song,5
becaus,5
seu,5
kill,5
scream,5
safe,5
dwell,5
"""jÃ¡""",5
crowd,5
die,5
fear,5
sorrow,5
ocean,5
runnin,5
fill,5
word,5
innoc,5
pure,5
paradis,5
insecur,5
beauti,5
goin,5
tri,4
someon,4
rain,4
onc,4
fool,4
road,4
lot,4
piec,4
year,4
control,4
hair,4
livin,4
jak,4
good,4
da,4
mal,4
blood,4
cover,4
du,4
quil,4
mean,4
street,4
gun,4
hundr,4
yard,4
cant,4
gotta,4
help,4
whistl,4
legend,4
god,4
breath,4
lean,4
pari,4
lisa,4
finest,4
vem,4
agora,4
ear,4
blame,4
hustl,4
truth,4
death,4
sea,4
sink,4
ship,4
start,4
chanc,4
l,4
