word,count,rating
perfect,6,5
extra,5,1
lean,4,-1
finest,4,4
foolish,4,-2
jealous,3,-2
poor,3,-2
young,3,1
bad,3,-3
big,3,1
green,3,1
sharp,3,1
real,2,1
honest,2,2
wrong,2,-2
mad,2,-3
drunk,2,-4
usual,2,1
dark,2,-1
solid,2,1
great,2,4
broken,2,-3
ancient,2,-1
clear,2,2
sick,2,-3
tough,2,-2
afraid,2,-3
nice,2,2
vain,2,-2
smart,2,2
new,1,2
free,1,3
blind,1,-3
strong,1,2
weak,1,-2
golden,1,1
sad,1,-2
human,1,2
righteous,1,-2
lone,1,-1
cruel,1,-4
pale,1,-1
cool,1,2
lame,1,-2
old,1,-1
rough,1,-1
latest,1,1
calm,1,2
fair,1,1
moral,1,2
foul,1,-5
smooth,1,1
clean,1,2
rich,1,3
fat,1,-3
cold,1,-1
fake,1,-2
wild,1,-1
social,1,1
civil,1,1
absurd,1,-3
sweet,1,3
hot,1,1
fresh,1,2
dead,1,-3
silent,1,2
slow,1,-1
safe,1,1
soft,1,1
proud,1,1
quick,1,2
bright,1,3
hopeless,1,-2
lifeless,1,-4
rare,1,1
pure,1,1
tall,1,1
clever,1,3
correct,1,3
blunt,1,-1
okay,1,1
rude,1,-3
warm,1,1
grand,1,4
glad,1,2
glorious,1,5
bitter,1,-2
loud,1,-2
endless,1,-1
small,1,-1
bare,1,-1
serious,1,-1
cheap,1,-1
vicious,1,-5
unkind,1,-3
helpless,1,-3
worthless,1,-4
