word,count,rating
pure,5,1
lean,4,-1
finest,4,4
young,3,1
old,3,-1
bad,3,-3
mad,2,-3
drunk,2,-4
usual,2,1
dark,2,-1
great,2,4
afraid,2,-3
lone,1,-1
cruel,1,-4
pale,1,-1
new,1,2
wrong,1,-2
calm,1,2
fair,1,1
moral,1,2
foul,1,-5
smooth,1,1
big,1,1
fake,1,-2
rich,1,3
real,1,1
wild,1,-1
human,1,2
sweet,1,3
free,1,3
slow,1,-1
safe,1,1
soft,1,1
proud,1,1
quick,1,2
cold,1,-1
poor,1,-2
dead,1,-3
broken,1,-3
bright,1,3
blind,1,-3
silent,1,2
hopeless,1,-2
lifeless,1,-4
rare,1,1
okay,1,1
rude,1,-3
small,1,-1
sad,1,-2
tall,1,1
jealous,1,-2
clear,1,2
weak,1,-2
unkind,1,-3
nice,1,2
