word,count,rating
precious,18,3
serious,10,-1
cool,9,2
stupid,4,-4
lone,4,-1
cute,4,3
obvious,4,-2
normal,4,2
useless,4,-4
big,3,1
broken,3,-3
afraid,3,-3
famous,3,3
upset,3,3
mystic,3,1
vain,3,-2
bold,3,3
clear,2,2
worst,2,-5
mad,2,-3
new,2,2
vicious,2,-5
wise,2,3
golden,2,1
safe,2,1
equal,2,1
fair,2,1
fond,2,2
numb,2,-2
pale,2,-1
old,1,-1
quiet,1,1
rich,1,3
free,1,3
wrong,1,-2
dead,1,-3
poor,1,-2
faint,1,-1
cold,1,-1
sore,1,-2
dull,1,-2
young,1,1
slow,1,-1
hot,1,1
warm,1,1
special,1,3
sick,1,-3
loud,1,-2
correct,1,3
real,1,1
sad,1,-2
weak,1,-2
grand,1,4
pure,1,1
righteous,1,-2
raw,1,-1
alien,1,-2
mistaken,1,-2
bad,1,-3
bare,1,-1
quick,1,2
great,1,4
dark,1,-1
cheap,1,-1
clean,1,2
extra,1,1
lame,1,-2
flat,1,-2
fake,1,-2
drunk,1,-4
gray,1,-1
blind,1,-3
wild,1,-1
human,1,2
hollow,1,-2
honest,1,2
nice,1,2
strong,1,2
ancient,1,-1
tame,1,-1
fearless,1,3
fresh,1,2
endless,1,-1
grey,1,-1
sweet,1,3
silent,1,2
lifeless,1,-4
soft,1,1
proud,1,1
vast,1,1
tall,1,1
clever,1,3
small,1,-1
selfish,1,-3
solid,1,1
bright,1,3
dire,1,-2
glad,1,2
calm,1,2
dumb,1,-3
rude,1,-3
tough,1,-2
fat,1,-3
perfect,1,5
okay,1,1
rough,1,-1
foolish,1,-2
blunt,1,-1
distant,1,-1
moral,1,2
careless,1,-1
violent,1,-2
green,1,1
senseless,1,-3
absurd,1,-3
bitter,1,-2
worthless,1,-4
cruel,1,-4
smart,1,2
nervous,1,-1
brutal,1,-5
mere,1,-2
jealous,1,-2
blank,1,-1
usual,1,1
super,1,3
rare,1,1
smooth,1,1
reckless,1,-2
restless,1,-1
civil,1,1
