word,count,rating
serious,10,-1
cool,9,2
stupid,4,-4
young,4,1
obvious,4,-2
big,3,1
broken,3,-3
free,3,3
grand,3,4
famous,3,3
upset,3,3
mystic,3,1
nervous,3,-1
clear,2,2
worst,2,-5
mad,2,-3
new,2,2
slow,2,-1
golden,2,1
afraid,2,-3
fake,2,-2
pure,2,1
safe,2,1
nice,2,2
fond,2,2
equal,2,1
tough,2,-2
numb,2,-2
wrong,1,-2
dead,1,-3
cold,1,-1
sore,1,-2
dull,1,-2
sick,1,-3
loud,1,-2
correct,1,3
real,1,1
bad,1,-3
warm,1,1
bare,1,-1
quick,1,2
hot,1,1
clean,1,2
extra,1,1
lame,1,-2
flat,1,-2
old,1,-1
weak,1,-2
drunk,1,-4
gray,1,-1
dark,1,-1
lone,1,-1
human,1,2
hollow,1,-2
cheap,1,-1
honest,1,2
special,1,3
blind,1,-3
fresh,1,2
strong,1,2
great,1,4
sweet,1,3
sad,1,-2
silent,1,2
endless,1,-1
lifeless,1,-4
righteous,1,-2
vast,1,1
small,1,-1
clever,1,3
wise,1,3
selfish,1,-3
solid,1,1
wild,1,-1
bright,1,3
dire,1,-2
glad,1,2
calm,1,2
dumb,1,-3
rude,1,-3
proud,1,1
precious,1,3
perfect,1,5
okay,1,1
rich,1,3
foolish,1,-2
blunt,1,-1
soft,1,1
distant,1,-1
bitter,1,-2
worthless,1,-4
cruel,1,-4
tame,1,-1
grey,1,-1
poor,1,-2
tall,1,1
faint,1,-1
fat,1,-3
usual,1,1
super,1,3
rare,1,1
brutal,1,-5
smooth,1,1
reckless,1,-2
