word,count,rating
civil,9,1
numb,6,-2
cool,5,2
equal,5,1
hot,4,1
honest,4,2
blind,3,-3
worthless,3,-4
wild,3,-1
mellow,3,1
drunk,3,-4
lean,3,-1
mad,3,-3
wise,3,3
useless,2,-4
weak,2,-2
free,2,3
silent,2,2
old,2,-1
clean,2,2
sweet,2,3
endless,2,-1
golden,2,1
pure,2,1
sad,2,-2
distant,2,-1
calm,2,2
soft,2,1
safe,2,1
fake,2,-2
green,2,1
helpless,2,-3
absurd,2,-3
perfect,1,5
broken,1,-3
wrong,1,-2
real,1,1
clear,1,2
new,1,2
great,1,4
eager,1,2
big,1,1
lone,1,-1
fearless,1,3
bright,1,3
usual,1,1
neat,1,2
okay,1,1
young,1,1
worst,1,-5
cheap,1,-1
prime,1,1
dark,1,-1
ancient,1,-1
afraid,1,-3
special,1,3
dead,1,-3
human,1,2
brutal,1,-5
rich,1,3
latest,1,1
slow,1,-1
tragic,1,-3
cold,1,-1
precious,1,3
pale,1,-1
finest,1,4
tall,1,1
quick,1,2
quiet,1,1
mystic,1,1
gray,1,-1
bad,1,-3
sick,1,-3
grand,1,4
fair,1,1
modern,1,2
bitter,1,-2
strong,1,2
sour,1,-2
warm,1,1
flat,1,-2
static,1,-1
poor,1,-2
grey,1,-1
restless,1,-1
bare,1,-1
small,1,-1
cruel,1,-4
hollow,1,-2
proper,1,1
sore,1,-2
righteous,1,-2
glad,1,2
loud,1,-2
wooden,1,-2
dull,1,-2
vast,1,1
proud,1,1
obvious,1,-2
weird,1,-1
vicious,1,-5
foolish,1,-2
fat,1,-3
tough,1,-2
blank,1,-1
senseless,1,-3
sharp,1,1
