word,count,rating
numb,6,-2
honest,4,2
bitter,4,-2
blind,3,-3
okay,3,1
worthless,3,-4
wild,3,-1
mellow,3,1
drunk,3,-4
lean,3,-1
wise,3,3
useless,2,-4
weak,2,-2
free,2,3
silent,2,2
old,2,-1
clean,2,2
endless,2,-1
pure,2,1
worst,2,-5
distant,2,-1
soft,2,1
calm,2,2
sick,2,-3
safe,2,1
fake,2,-2
green,2,1
helpless,2,-3
absurd,2,-3
glad,2,2
ancient,2,-1
broken,1,-3
clear,1,2
new,1,2
wrong,1,-2
perfect,1,5
great,1,4
eager,1,2
big,1,1
lone,1,-1
real,1,1
fearless,1,3
afraid,1,-3
special,1,3
dead,1,-3
human,1,2
brutal,1,-5
latest,1,1
slow,1,-1
cold,1,-1
quiet,1,1
tall,1,1
dark,1,-1
young,1,1
gray,1,-1
grand,1,4
fair,1,1
modern,1,2
strong,1,2
sweet,1,3
bad,1,-3
sour,1,-2
warm,1,1
flat,1,-2
static,1,-1
poor,1,-2
grey,1,-1
cheap,1,-1
restless,1,-1
bare,1,-1
small,1,-1
quick,1,2
cruel,1,-4
hollow,1,-2
sad,1,-2
sore,1,-2
wooden,1,-2
bright,1,3
golden,1,1
dull,1,-2
vast,1,1
proud,1,1
obvious,1,-2
weird,1,-1
vicious,1,-5
fat,1,-3
tough,1,-2
blank,1,-1
precious,1,3
cool,1,2
loud,1,-2
