word,count
love,134
feel,115
day,81
time,79
life,73
die,67
eye,64
wrong,63
turn,51
everi,50
anoth,48
heart,47
thing,47
caus,46
way,46
year,44
night,43
da,42
place,41
onli,41
wanna,41
run,40
god,39
yeah,38
start,38
need,38
end,37
chang,37
wait,37
leav,37
mind,36
fall,36
live,34
death,34
gonna,34
dead,34
stop,33
look,33
insid,33
town,32
world,31
woah,31
blood,30
face,30
gotta,28
du,28
call,27
break,27
littl,26
light,26
sun,26
whi,25
lie,25
doe,25
countri,25
der,25
bah,25
forev,24
man,24
becom,24
dream,23
word,23
voic,23
stand,23
tri,23
dark,23
broken,22
noth,22
realli,22
sky,22
wake,22
bist,22
rise,21
set,20
anyth,20
hold,20
stay,20
head,20
last,20
mich,20
someth,19
girl,19
old,19
open,19
hand,19
rememb,19
hey,19
onc,18
befor,18
everyth,18
soul,18
someon,18
promis,18
same,18
rock,18
other,17
els,17
put,17
pain,17
sens,17
das,17
believ,16
fight,16
buy,16
ground,15
watch,15
til,15
hope,15
babi,15
work,15
walk,15
mine,15
war,15
line,14
thought,14
free,14
secret,14
bodi,14
flesh,14
earth,14
safe,14
new,13
bone,13
street,13
fate,13
true,13
care,13
breath,13
wonder,13
hate,13
readi,13
cuz,13
own,13
home,13
mayb,13
fire,12
friend,12
talk,12
blind,12
cri,12
question,12
cold,12
good,12
somebodi,12
sie,12
ani,11
beauti,11
lip,11
step,11
ooh,11
big,11
kill,11
enemi,11
drop,11
fear,11
young,11
danc,11
bad,11
whoa,11
move,11
mean,11
mail,11
happi,10
black,10
futur,10
part,10
full,10
battl,10
control,10
sin,10
fuck,10
plan,10
deceiv,10
gentl,10
hell,10
touch,10
stranger,10
auf,10
star,9
silenc,9
forc,9
unknown,9
bind,9
furi,9
skin,9
kiss,9
arm,9
knee,9
stone,9
real,9
pay,9
crash,9
shore,9
becaus,9
crystal,9
today,9
empti,9
final,9
wish,9
behold,9
goe,9
mani,9
hors,9
yea,9
und,9
hour,8
shake,8
answer,8
trust,8
phone,8
high,8
attack,8
spill,8
cell,8
progress,8
harder,8
drink,8
endless,8
afraid,8
pray,8
father,8
faith,8
spin,8
rip,8
sight,8
strip,8
point,8
shit,8
fill,8
tie,8
carri,8
rais,8
nobodi,8
parti,8
justic,8
prize,8
memori,7
smoke,7
togeth,7
matter,7
fli,7
shine,7
name,7
pass,7
kind,7
silent,7
guilti,7
feet,7
song,7
peac,7
sign,7
buri,7
red,7
pleas,7
half,7
side,7
reach,7
person,7
vein,7
glass,7
settl,7
hous,7
dawn,7
ride,7
rest,7
kid,7
wall,7
wheel,7
surfac,7
holi,7
nois,7
car,7
forest,7
prayer,7
piec,7
ain,7
frame,7
yesterday,6
wast,6
peopl,6
sound,6
show,6
smile,6
perfect,6
weak,6
mistak,6
emot,6
truth,6
void,6
door,6
desir,6
roll,6
tire,6
sleep,6
round,6
silver,6
help,6
demon,6
master,6
liar,6
imagin,6
embrac,6
gate,6
citi,6
wind,6
tower,6
retreat,6
strong,6
rage,6
strike,6
small,6
prepar,6
such,6
ein,6
zu,6
x2,6
son,6
numb,6
ich,6
"""fÃ¼r""",6
rule,6
blue,5
everybodi,5
moment,5
anymor,5
clear,5
everyon,5
great,5
glori,5
suffoc,5
anytim,5
lone,5
sacrific,5
fine,5
child,5
play,5
creat,5
mix,5
room,5
second,5
"""donâ€™t""",5
wors,5
cover,5
twist,5
yall,5
disgrac,5
machin,5
innoc,5
slave,5
ice,5
tongu,5
womb,5
sorri,5
snow,5
fulfil,5
blame,5
vision,5
moon,5
beat,5
laugh,5
shoot,5
hundr,5
bar,5
trick,5
land,5
gun,5
shadow,5
sweet,5
bullet,5
sour,5
husband,5
miser,5
mile,5
passion,5
sick,5
bliss,5
crazi,5
heaven,5
shoulder,5
woman,5
chest,5
mountain,5
ring,5
choic,5
equal,5
grace,5
sake,5
shoe,5
honest,5
reveng,5
strength,5
note,5
lord,5
chorus,5
match,5
fog,5
cos,5
sinc,4
finger,4
cut,4
bet,4
crook,4
reason,4
key,4
throne,4
floor,4
hair,4
sorrow,4
blur,4
air,4
lead,4
divin,4
savior,4
mortal,4
infect,4
trip,4
mouth,4
okay,4
sand,4
singl,4
curs,4
violenc,4
complet,4
chanc,4
minut,4
wound,4
buddi,4
ghost,4
consequ,4
pure,4
youth,4
mass,4
crack,4
decid,4
worri,4
space,4
quiet,4
univers,4
worst,4
lesson,4
cancer,4
storm,4
poison,4
saviour,4
use,4
road,4
guilt,4
scream,4
drift,4
form,4
sink,4
cream,4
hunter,4
rush,4
path,4
anger,4
calm,4
stori,4
wild,4
o,4
rain,4
guard,4
glow,4
lust,4
sword,4
warrior,4
scare,4
children,4
sometim,4
suppos,4
weight,4
blow,4
design,4
revers,4
worn,4
besid,4
test,4
stomach,4
nicht,4
dust,4
bonni,4
feelin,4
bitter,4
drain,4
mother,4
wolv,4
wick,4
crumbl,4
generat,4
number,4
ten,3
wrap,3
pen,3
consum,3
blade,3
solo,3
lock,3
shout,3
chant,3
